page,child,route,roles,line,control_type,control_label,handler_kind,parents,status
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,69,Button,"CSV",onClick,"Info>PageHeaderCard>FileDown",OK
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,72,Button,"طباعة",onClick,"PageHeaderCard>FileDown>FileSpreadsheet",OK
src/pages/beneficiary/BeneficiaryMessagesPage.tsx,,/beneficiary/messages,BENEFICIARY_ROLES,29,Button,"إعادة المحاولة",onClick,"DashboardLayout>AlertCircle",OK
src/pages/beneficiary/BeneficiaryMessagesPage.tsx,,/beneficiary/messages,BENEFICIARY_ROLES,57,Button,"محادثة الناظر",onClick,"RefreshCw>TableSkeleton>PageHeaderCard",OK
src/pages/beneficiary/BeneficiaryMessagesPage.tsx,,/beneficiary/messages,BENEFICIARY_ROLES,60,Button,"",onClick,"TableSkeleton>PageHeaderCard>MessageSquare",OK
src/pages/beneficiary/BylawsViewPage.tsx,,/beneficiary/bylaws,ALL_NON_ACCOUNTANT,27,Button,"إعادة المحاولة",onClick,"DashboardLayout>AlertCircle",OK
src/pages/beneficiary/CarryforwardHistoryPage.tsx,,/beneficiary/carryforward,BENEFICIARY_ROLES,41,Button,"إعادة المحاولة",onClick,"DashboardLayout>DashboardSkeleton>AlertTriangle",OK
src/pages/beneficiary/CarryforwardHistoryPage.tsx,,/beneficiary/carryforward,BENEFICIARY_ROLES,71,Button,"رجوع",onClick,"AlertTriangle>RequirePublishedYears>PageHeaderCard",OK
src/pages/beneficiary/ContractsViewPage.tsx,,/beneficiary/contracts,ALL_NON_ACCOUNTANT,39,Button,"إعادة المحاولة",onClick,"Card>CardContent>AlertCircle",OK
src/pages/beneficiary/DisclosurePage.tsx,,/beneficiary/disclosure,BENEFICIARY_ROLES,65,Button,"تقرير شامل",onClick,"ErrorState>RequirePublishedYears>PageHeaderCard",OK
src/pages/beneficiary/FinancialReportsPage.tsx,,/beneficiary/financial-reports,ALL_NON_ACCOUNTANT,34,Button,"إعادة المحاولة",onClick,"DashboardLayout>DashboardSkeleton>AlertCircle",OK
src/pages/beneficiary/FinancialReportsPage.tsx,,/beneficiary/financial-reports,ALL_NON_ACCOUNTANT,73,Link,"صفحة الإفصاح السنوي",Link-to,"RequirePublishedYears>PageHeaderCard>ExportMenu",OK
src/pages/beneficiary/InvoicesViewPage.tsx,,/beneficiary/invoices,ALL_NON_ACCOUNTANT,70,Tab,"الكل",tabs-radix,"LayoutGrid>Tabs>TabsList",OK
src/pages/beneficiary/InvoicesViewPage.tsx,,/beneficiary/invoices,ALL_NON_ACCOUNTANT,71,Tab,"فواتير الإيجار",tabs-radix,"LayoutGrid>Tabs>TabsList",OK
src/pages/beneficiary/InvoicesViewPage.tsx,,/beneficiary/invoices,ALL_NON_ACCOUNTANT,72,Tab,"فواتير الشراء",tabs-radix,"LayoutGrid>Tabs>TabsList",OK
src/pages/beneficiary/InvoicesViewPage.tsx,,/beneficiary/invoices,ALL_NON_ACCOUNTANT,31,Button,"إعادة المحاولة",onClick,"DashboardLayout>AlertCircle",OK
src/pages/beneficiary/InvoicesViewPage.tsx,,/beneficiary/invoices,ALL_NON_ACCOUNTANT,58,Button,"جدول",onClick,"PageHeaderCard>ExportMenu>Info",OK
src/pages/beneficiary/InvoicesViewPage.tsx,,/beneficiary/invoices,ALL_NON_ACCOUNTANT,61,Button,"شبكي",onClick,"ExportMenu>Info>List",OK
src/pages/beneficiary/MySharePage.tsx,,/beneficiary/my-share,BENEFICIARY_ROLES,160,Button,"صفحة الإفصاح السنوي",onClick,"Card>CardContent>AlertCircle",OK
src/pages/beneficiary/NotificationsPage.tsx,,/beneficiary/notifications,BENEFICIARY_ROLES,30,Button,"إعادة المحاولة",onClick,"DashboardLayout>AlertCircle",OK
src/pages/beneficiary/NotificationsPage.tsx,,/beneficiary/notifications,BENEFICIARY_ROLES,58,Button,"تفعيل الإشعارات المنبثقة تفعيل",onClick,"RefreshCw>TableSkeleton>PageHeaderCard",OK
src/pages/beneficiary/PropertiesViewPage.tsx,,/beneficiary/properties,ALL_NON_ACCOUNTANT,53,Button,"إعادة المحاولة",onClick,"DashboardLayout>Skeleton>AlertCircle",OK
src/pages/beneficiary/PropertiesViewPage.tsx,,/beneficiary/properties,ALL_NON_ACCOUNTANT,89,Link,"التقارير المالية",Link-to,"Building2",OK
src/pages/beneficiary/PropertiesViewPage.tsx,,/beneficiary/properties,ALL_NON_ACCOUNTANT,91,Link,"حصتي",Link-to,"CardContent>Building2>ArrowLeft",OK
src/pages/beneficiary/SupportPage.tsx,,,,33,Button,"طلب دعم جديد",onClick,"DashboardLayout>PageHeaderCard",OK
