path,layer,loc,imports,exports,is_barrel,has_supabase,has_toast,has_console,has_default_export
components/common/access/FeatureGate.tsx,component,25,3,1,false,false,false,false,true
components/common/charts/ChartBox.tsx,component,34,2,1,false,false,false,false,true
components/common/charts/ChartSkeleton.tsx,component,14,1,1,false,false,false,false,true
components/common/feedback/BetaBanner.tsx,component,61,5,1,false,false,false,false,true
components/common/feedback/ConfirmDeleteDialog.tsx,component,56,1,1,false,false,false,false,true
components/common/feedback/DiagnosticOverlay.tsx,component,52,6,1,false,false,false,false,true
components/common/feedback/EmptyState.test.tsx,component,17,3,0,false,false,false,false,false
components/common/feedback/EmptyState.tsx,component,53,2,1,false,false,false,false,true
components/common/feedback/ErrorBoundary.test.tsx,component,83,5,0,false,false,false,true,false
components/common/feedback/ErrorBoundary.tsx,component,136,5,1,false,false,false,false,true
components/common/feedback/OfflineBanner.tsx,component,33,2,1,false,false,false,false,true
components/common/feedback/PageLoader.tsx,component,14,0,1,false,false,false,false,true
components/common/feedback/PageStateGuards.tsx,component,72,4,2,false,false,false,false,false
components/common/feedback/SkeletonLoaders.test.tsx,component,39,3,0,false,false,false,false,false
components/common/feedback/SkeletonLoaders.tsx,component,98,2,5,false,false,false,false,false
components/common/feedback/WebVitalsPanel.tsx,component,101,6,1,false,false,false,false,true
components/common/finance/EstimatedShareBadge.tsx,component,31,2,1,false,false,false,false,true
components/common/finance/FiscalYearStateNotice.tsx,component,53,4,1,false,false,false,false,true
components/common/finance/LockedYearBanner.tsx,component,39,1,1,false,false,false,false,true
components/common/finance/NoPublishedYearsNotice.tsx,component,19,3,1,false,false,false,false,true
components/common/finance/RequirePublishedYears.tsx,component,36,4,1,false,false,false,false,true
components/common/forms/ExportMenu.tsx,component,92,4,1,false,false,false,false,true
components/common/forms/ViewModeToggle.tsx,component,60,3,3,false,false,false,false,false
components/common/index.ts,component,60,0,29,true,false,false,false,false
components/common/layout/LegalPageFooter.tsx,component,56,3,1,false,false,false,false,true
components/common/layout/MobileCardView.test.tsx,component,114,4,0,false,false,false,false,false
components/common/layout/MobileCardView.tsx,component,109,4,2,false,false,false,false,true
components/common/layout/PrintFooter.tsx,component,28,2,1,false,false,false,false,true
components/common/layout/PrintHeader.tsx,component,87,3,1,false,false,false,false,true
components/common/perf/DeferredRender.tsx,component,26,1,1,false,false,false,false,true
components/common/perf/ViewportRender.tsx,component,50,1,1,false,false,false,false,true
components/common/tables/CrudPagination.test.tsx,component,81,3,0,false,false,false,false,false
components/common/tables/CrudPagination.tsx,component,80,2,2,false,false,false,false,true
components/common/tables/TablePagination.test.tsx,component,60,3,0,false,false,false,false,false
components/common/tables/TablePagination.tsx,component,75,2,1,false,false,false,false,true
components/common/tables/VirtualTable.tsx,component,143,4,1,false,false,false,false,true
components/contracts/BulkRenewDialog.tsx,component,51,2,1,false,false,false,false,true
components/contracts/CollectionDesktopTable.tsx,component,38,3,1,false,false,false,false,true
components/contracts/CollectionMobileCards.tsx,component,65,6,1,false,false,false,false,true
components/contracts/CollectionReport.integration.test.tsx,component,82,4,0,false,false,false,false,false
components/contracts/CollectionReport.tsx,component,134,16,1,false,false,false,false,true
components/contracts/CollectionSummaryCards.tsx,component,99,5,1,false,false,false,false,true
components/contracts/CollectionTableRow.tsx,component,78,8,1,false,false,false,false,true
components/contracts/ConfirmDeleteContractWithPendingDialog.tsx,component,54,1,1,false,false,false,false,true
components/contracts/ConfirmRegenerateInvoicesDialog.tsx,component,52,1,1,false,false,false,false,true
components/contracts/ContractAccordionGroup.tsx,component,177,12,1,false,false,false,false,true
components/contracts/ContractDeleteDialog.tsx,component,22,1,1,false,false,false,false,true
components/contracts/ContractFormDialog.tsx,component,121,11,1,false,false,false,false,true
components/contracts/ContractStatsCards.tsx,component,100,4,1,false,false,false,false,true
components/contracts/ContractTenantIdSection.tsx,component,56,5,1,false,false,false,false,true
components/contracts/ContractsFiltersBar.tsx,component,93,4,1,false,false,false,false,true
components/contracts/ContractsTabContent.tsx,component,118,8,1,false,false,false,false,true
components/contracts/ContractsViewDesktopTable.tsx,component,79,5,1,false,false,false,false,true
components/contracts/ContractsViewGridCards.tsx,component,79,4,1,false,false,false,false,true
components/contracts/ContractsViewMobileCards.tsx,component,71,4,1,false,false,false,false,true
components/contracts/MonthlyAccrualTable.tsx,component,138,9,1,false,false,false,false,true
components/contracts/PaymentInvoicesTab.tsx,component,162,17,1,false,false,false,false,true
components/contracts/accordion/AccordionParts.tsx,component,56,5,1,false,false,false,false,false
components/contracts/accordion/accordionConstants.tsx,component,26,1,3,false,false,false,false,false
components/contracts/accrual/AccrualDesktopTable.tsx,component,67,4,1,false,false,false,false,true
components/contracts/accrual/AccrualHelpers.tsx,component,60,6,1,false,false,false,false,false
components/contracts/accrual/AccrualMobileSummary.tsx,component,31,4,1,false,false,false,false,true
components/contracts/accrual/accrualUtils.ts,component,44,2,6,false,false,false,false,false
components/contracts/contract-form/ContractMultiUnitBlock.tsx,component,120,9,1,false,false,false,false,true
components/contracts/contract-form/ContractPaymentSection.tsx,component,159,10,1,false,false,false,false,true
